"2Theta","J_0_AD_","J_0_GL_","J_0_HT_"
8.310097858336373,1054,644,431
8.323228141014228,975,668,454
8.336358423692083,994,664,446
8.349488706369938,950,683,459
8.362618989047792,971,631,441
8.375749271725647,968,635,453
8.388879554403502,943,677,473
8.402009837081357,1005,639,508
8.4151401197592115,979,696,436
8.428270402437066,938,668,422
8.441400685114921,972,652,443
8.454530967792776,908,678,496
8.46766125047063,939,709,467
8.480791533148485,936,660,511
8.49392181582634,924,671,471
8.507052098504195,907,683,477
8.52018238118205,915,687,495
8.533312663859904,912,665,486
8.54644294653776,955,697,513
8.559573229215614,906,668,491
8.572703511893469,934,668,498
8.585833794571323,852,683,525
8.598964077249178,916,707,512
8.612094359927033,868,657,519
8.625224642604888,888,652,498
8.638354925282743,902,653,484
8.651485207960597,890,705,468
8.664615490638452,891,731,494
8.677745773316307,821,684,519
8.690876055994163,872,722,502
8.704006338672016,860,703,452
8.717136621349873,872,708,446
8.730266904027726,833,725,494
8.743397186705582,837,728,449
8.756527469383435,903,763,496
8.769657752061292,907,707,475
8.782788034739145,917,774,447
8.795918317417001,968,761,450
8.809048600094854,901,779,445
8.822178882772711,820,724,460
8.835309165450564,802,719,414
8.84843944812842,780,712,436
8.861569730806274,778,720,452
8.87470001348413,756,667,402
8.887830296161983,689,677,400
8.90096057883984,717,687,414
8.914090861517693,736,701,434
8.92722114419555,723,671,399
8.940351426873402,680,699,382
8.953481709551259,661,660,423
8.966611992229112,714,684,415
8.979742274906968,690,687,450
8.992872557584821,657,638,396
9.006002840262678,639,717,395
9.01913312294053,653,652,386
9.032263405618387,658,727,400
9.045393688296242,652,693,361
9.058523970974097,634,686,372
9.071654253651952,618,683,404
9.084784536329806,610,705,433
9.097914819007661,611,677,405
9.111045101685516,606,677,415
9.12417538436337,593,657,416
9.137305667041225,616,688,422
9.15043594971908,601,698,368
9.163566232396935,640,615,402
9.17669651507479,576,652,374
9.189826797752644,568,658,382
9.2029570804305,546,630,396
9.216087363108354,531,692,346
9.229217645786209,596,637,343
9.2423479284640635,558,685,408
9.255478211141918,594,696,388
9.268608493819773,552,649,393
9.281738776497628,568,634,357
9.294869059175483,581,657,362
9.307999341853337,552,683,379
9.321129624531192,564,650,377
9.334259907209047,535,673,390
9.347390189886902,572,638,413
9.360520472564756,512,689,401
9.373650755242611,521,660,382
9.386781037920466,549,687,339
9.39991132059832,486,646,349
9.413041603276175,488,679,349
9.42617188595403,552,669,356
9.439302168631887,522,657,343
9.45243245130974,495,697,354
9.465562733987596,516,641,370
9.47869301666545,495,677,365
9.491823299343306,519,670,373
9.504953582021159,491,692,346
9.518083864699015,500,686,371
9.531214147376868,489,648,371
9.544344430054725,487,691,389
9.557474712732578,482,649,373
9.570604995410434,488,659,354
9.583735278088287,510,655,323
9.596865560766144,485,679,353
9.609995843443997,529,739,338
9.623126126121853,503,687,365
9.636256408799706,471,625,352
9.649386691477563,479,638,372
9.662516974155416,478,633,341
9.675647256833273,476,633,367
9.688777539511126,525,579,355
9.701907822188982,457,636,355
9.715038104866835,481,614,358
9.728168387544692,498,601,376
9.741298670222545,445,656,353
9.754428952900401,422,609,327
9.767559235578254,457,576,346
9.78068951825611,432,602,343
9.793819800933965,454,630,397
9.80695008361182,453,607,350
9.820080366289675,461,598,380
9.83321064896753,442,578,386
9.846340931645384,438,662,361
9.85947121432324,432,585,371
9.872601497001094,434,561,353
9.885731779678949,466,598,361
9.898862062356804,440,576,361
9.911992345034658,467,597,357
9.925122627712513,456,606,364
9.938252910390368,381,579,373
9.951383193068223,446,612,339
9.964513475746077,462,542,354
9.977643758423932,472,623,355
9.990774041101787,424,595,376
10.003904323779642,443,538,337
10.017034606457496,418,592,341
10.030164889135351,432,546,375
10.043295171813206,437,569,362
10.05642545449106,470,576,361
10.069555737168915,449,579,361
10.08268601984677,441,548,351
10.095816302524625,426,563,359
10.10894658520248,428,579,355
10.122076867880335,443,572,362
10.13520715055819,441,567,344
10.148337433236044,433,565,361
10.161467715913899,435,551,373
10.174597998591754,395,540,341
10.18772828126961,429,519,332
10.200858563947463,421,582,338
10.21398884662532,410,526,369
10.227119129303173,424,533,363
10.24024941198103,425,554,362
10.253379694658882,438,585,334
10.266509977336739,424,551,343
10.279640260014592,412,548,340
10.292770542692448,420,563,353
10.305900825370301,365,521,328
10.319031108048158,439,539,348
10.33216139072601,447,575,335
10.345291673403867,420,530,322
10.35842195608172,408,499,346
10.371552238759577,414,520,354
10.38468252143743,388,557,339
10.397812804115286,446,564,376
10.41094308679314,422,547,337
10.424073369470996,383,502,361
10.437203652148849,466,546,341
10.450333934826705,404,522,332
10.463464217504558,423,523,337
10.476594500182415,424,530,359
10.489724782860268,429,548,314
10.502855065538125,411,545,339
10.515985348215978,419,520,358
10.529115630893834,371,502,352
10.542245913571689,398,542,334
10.555376196249544,423,564,329
10.568506478927398,451,510,312
10.581636761605253,380,541,328
10.594767044283108,393,539,341
10.607897326960963,417,517,342
10.621027609638817,410,515,370
10.634157892316672,376,515,364
10.647288174994527,402,535,354
